Ticker,timestamp,Date,data_source,last_price,volume,iv_30d,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,hv_slope,volatility_regime,snapshot_ts,Signal_Type,Regime,IVHV_gap_30D,Chart_Regime,Chart_EMA_Signal,Chart_Signal_Type,Days_Since_Cross,Has_Crossover,Trend_Slope,Price_vs_SMA20,Price_vs_SMA50,SMA20,SMA50,Atr_Pct
JNJ,2025-12-31 19:45:47.470786,2025-12-31,yfinance,206.9499969482422,4083800,,10.21648892869091,18.975638927077224,16.479918286032152,15.253787161995158,,10.21648892869091,18.975638927077224,16.479918286032152,15.253787161995158,,-6.263429357341241,Normal_Contraction,2025-12-31 19:45:47.470798,Neutral,Normal_Contraction,0.0,Ranging,Bullish,Bullish,50,True,-0.194,0.06,7.66,206.89,199.29,1.53
PG,2025-12-31 19:45:47.666289,2025-12-31,yfinance,143.30999755859375,5291300,,15.745343766256688,20.271745280560356,19.805645118108142,17.69811339231935,,15.745343766256688,20.271745280560356,19.805645118108142,17.69811339231935,,-4.060301351851454,Normal,2025-12-31 19:45:47.666300,Neutral,Normal,0.0,Ranging,Bearish,Bearish,100,True,-0.0327,-0.29,-3.19,143.6,146.5,1.32
MA,2025-12-31 19:45:47.776724,2025-12-31,yfinance,570.8800048828125,1736500,,9.360613512298267,20.838002931587344,20.197399394321057,19.287137421768623,,9.360613512298267,20.838002931587344,20.197399394321057,19.287137421768623,,-10.83678588202279,Normal_Contraction,2025-12-31 19:45:47.776737,Neutral,Normal_Contraction,0.0,Trending,Bullish,Bullish,19,True,3.4115,7.38,14.45,563.5,556.43,1.4
HD,2025-12-31 19:45:47.921408,2025-12-31,yfinance,344.1000061035156,2317500,,17.838025418897963,19.074486643488584,29.679591347852742,23.836518473395582,,17.838025418897963,19.074486643488584,29.679591347852742,23.836518473395582,,-11.841565928954779,Normal_Contraction,2025-12-31 19:45:47.921417,Neutral,Normal_Contraction,0.0,Neutral,Bearish,Bearish,97,True,-1.8477,-6.78,-14.79,350.88,358.89,1.83
BAC,2025-12-31 19:45:48.090082,2025-12-31,yfinance,55.0,16279900,,14.812654133328795,13.78344798221268,14.383816983863577,20.58142746489544,,14.812654133328795,13.78344798221268,14.383816983863577,20.58142746489544,,0.42883714946521856,Low_Compression,2025-12-31 19:45:48.090093,Neutral,Low_Compression,0.0,Ranging,Bullish,Bullish,33,True,0.0366,0.15,1.63,54.85,53.37,1.48
DIS,2025-12-31 19:45:48.304194,2025-12-31,yfinance,113.7699966430664,6606900,,13.837523756039097,15.833572147090406,19.841133839409014,25.143422841348954,,13.837523756039097,15.833572147090406,19.841133839409014,25.143422841348954,,-6.003610083369917,Normal_Contraction,2025-12-31 19:45:48.304204,Neutral,Normal_Contraction,0.0,Neutral,Bullish,Bullish,20,True,1.3913,3.3,4.57,110.47,109.2,1.67
NFLX,2025-12-31 19:45:48.390717,2025-12-31,yfinance,93.76000213623047,23446900,,9.950723033267545,28.91888142186656,33.29783129933791,36.22663891546182,,9.950723033267545,28.91888142186656,33.29783129933791,36.22663891546182,,-23.347108266070364,Normal_Contraction,2025-12-31 19:45:48.390729,Neutral,Normal_Contraction,0.0,Ranging,Bearish,Bearish,70,True,-0.359,-1.79,-10.71,95.55,104.47,2.02
ADBE,2025-12-31 19:45:48.550917,2025-12-31,yfinance,349.989990234375,2114900,,13.732824552867298,25.630913203375055,25.813401290301023,27.47775035522009,,13.732824552867298,25.630913203375055,25.813401290301023,27.47775035522009,,-12.080576737433725,Normal_Contraction,2025-12-31 19:45:48.550930,Neutral,Normal_Contraction,0.0,Ranging,Bullish,Bullish,23,True,0.0615,1.34,10.4,348.65,339.59,2.41
CRM,2025-12-31 19:45:48.683920,2025-12-31,yfinance,264.9100036621094,3366200,,11.587424230673419,26.403263965672657,27.222063588427194,32.260583885305074,,11.587424230673419,26.403263965672657,27.222063588427194,32.260583885305074,,-15.634639357753775,Normal_Contraction,2025-12-31 19:45:48.683932,Neutral,Normal_Contraction,0.0,Trending,Bullish,Bullish,26,True,3.072,5.24,15.07,259.67,249.84,1.82
CSCO,2025-12-31 19:45:48.794504,2025-12-31,yfinance,77.02999877929688,13568800,,16.787010473602333,16.469067318447962,19.08058434332648,22.687808545545057,,16.787010473602333,16.469067318447962,19.08058434332648,22.687808545545057,,-2.2935738697241455,Normal,2025-12-31 19:45:48.794516,Neutral,Normal,0.0,Ranging,Bullish,Bullish,93,True,-0.2378,-1.01,1.39,78.04,75.64,1.59
