Ticker,timestamp,Date,Error,data_source,last_price,volume,price_source,quote_time,trade_time,quote_age_sec,is_market_open,market_status,price_history_status,hv_status,iv_30d,IV_7_D_Call,IV_14_D_Call,IV_21_D_Call,IV_30_D_Call,IV_60_D_Call,IV_90_D_Call,IV_120_D_Call,IV_150_D_Call,IV_180_D_Call,IV_270_D_Call,IV_360_D_Call,IV_720_D_Call,IV_1080_D_Call,IV_7_D_Put,IV_14_D_Put,IV_21_D_Put,IV_30_D_Put,IV_60_D_Put,IV_90_D_Put,IV_120_D_Put,IV_150_D_Put,IV_180_D_Put,IV_270_D_Put,IV_360_D_Put,IV_720_D_Put,IV_1080_D_Put,hv_10,hv_20,hv_30,hv_60,hv_90,HV_10_D_Cur,HV_20_D_Cur,HV_30_D_Cur,HV_60_D_Cur,HV_90_D_Cur,HV_120_D_Cur,HV_150_D_Cur,HV_180_D_Cur,hv_slope,volatility_regime,highPrice,lowPrice,openPrice,closePrice,52WeekHigh,52WeekLow,netChange,netPercentChange,dividendDate,dividendYield,snapshot_ts
DE,2026-01-09 11:24:56.717189,2026-01-09,,schwab,488.375,935355.0,lastPrice,1767986445017,1767986430097,266.62,True,OPEN,OK,COMPUTED,26.699,,,,26.699,,,,,,,,,,,,,,,,,,,,,,,39.051503320824736,29.539941729863433,32.06051652115385,25.93418275781638,23.828308709969946,39.051503320824736,29.539941729863433,32.06051652115385,25.93418275781638,23.828308709969946,25.998905936557787,24.77859367695698,24.580096322265742,6.990986799670885,Normal,503.55,484.86,500.7,500.8,533.78,403.01,-12.425,-2.48103035,,,2026-01-09 11:24:56.717189
TDY,2026-01-09 11:24:56.717189,2026-01-09,,schwab,550.715,201609.0,lastPrice,1767986379397,1767986372563,324.154,True,OPEN,OK,COMPUTED,20.725,,,,20.725,,,,,,,,,,,,,,,,,,,,,,,21.25884054502612,19.136454693598026,19.311541576609574,23.1035304878251,21.992847087533526,21.25884054502612,19.136454693598026,19.311541576609574,23.1035304878251,21.992847087533526,20.39689673498551,19.671714829619248,18.957078082031224,1.947298968416547,Normal_Compression,557.78,548.42,548.91,548.91,595.99,419.0,1.805,0.32883351,,,2026-01-09 11:24:56.717189
CASY,2026-01-09 11:24:56.717189,2026-01-09,,schwab,597.625,216399.0,lastPrice,1767986450332,1767986450558,246.159,True,OPEN,OK,COMPUTED,24.628,,,,24.628,,,,,,,,,,,,,,,,,,,,,,,20.93162681692912,20.61035914928518,25.709347178870413,25.54942518497307,24.322607753761257,20.93162681692912,20.61035914928518,25.709347178870413,25.54942518497307,24.322607753761257,22.006268218348897,25.46584273002675,25.125413220186765,-4.777720361941295,Normal_Compression,603.4599,588.02,590.1,586.38,603.4599,372.085,11.245,1.91769842,,,2026-01-09 11:24:56.717189
CACC,2026-01-09 11:24:56.717189,2026-01-09,,schwab,474.115,107763.0,lastPrice,1767986402594,1767986344560,352.157,True,OPEN,OK,COMPUTED,45.395,,,,45.395,,,,,,,,,,,,,,,,,,,,,,,21.119875039087344,19.256241888052923,22.375866888833247,38.872905682532085,41.49248060637083,21.119875039087344,19.256241888052923,22.375866888833247,38.872905682532085,41.49248060637083,41.21070278059596,39.562076332132015,38.39821809231584,-1.2559918497459035,Normal_Compression,478.72,461.65,466.88,466.22,560.0,401.9,7.895,1.69340655,,,2026-01-09 11:24:56.717189
SNPS,2026-01-09 11:24:56.717189,2026-01-09,,schwab,524.44,1221851.0,lastPrice,1767986450963,1767986446265,250.452,True,OPEN,OK,COMPUTED,33.369,,,,33.369,,,,,,,,,,,,,,,,,,,,,,,25.4668968481116,32.95504026229078,32.13842456967901,33.48838714168113,88.57605480097173,25.4668968481116,32.95504026229078,32.13842456967901,33.48838714168113,88.57605480097173,78.22671684915616,71.24442126292833,67.11979286447749,-6.671527721567408,Normal,528.92,511.099,515.49,514.49,651.73,365.74,9.95,1.93395401,,,2026-01-09 11:24:56.717189
MSFT,2026-01-09 11:24:56.717189,2026-01-09,,schwab,478.515,10949535.0,lastPrice,1767986456278,1767986455643,241.074,True,OPEN,OK,COMPUTED,27.032,,,,27.032,,,,,,,,,,,,,,,,,,,,,,,15.796721425735944,14.287541528446216,18.48687978316811,19.221098029551076,18.359724919353003,15.796721425735944,14.287541528446216,18.48687978316811,19.221098029551076,18.359724919353003,18.293350931500164,17.263167167258526,19.305349805651957,-2.690158357432166,Normal_Compression,479.26,472.2001,474.06,478.11,555.45,344.79,0.405,0.08470854,,,2026-01-09 11:24:56.717189
NOC,2026-01-09 11:24:56.717189,2026-01-09,,schwab,616.685,831360.0,lastPrice,1767986435244,1767986432167,264.55,True,OPEN,OK,COMPUTED,25.445,,,,25.445,,,,,,,,,,,,,,,,,,,,,,,47.25657422020032,35.75130172137854,33.25335901188461,26.32060635226224,23.784464385967983,47.25657422020032,35.75130172137854,33.25335901188461,26.32060635226224,23.784464385967983,24.80940277958965,24.39238471382443,23.636729160523178,14.003215208315709,Normal_Expansion,618.6699,590.68,590.68,590.79,640.901,426.24,25.895,4.38311414,,,2026-01-09 11:24:56.717189
MCO,2026-01-09 11:24:56.717189,2026-01-09,,schwab,533.75,210909.0,lastPrice,1767986447196,1767986414783,281.934,True,OPEN,OK,COMPUTED,21.572,,,,21.572,,,,,,,,,,,,,,,,,,,,,,,32.367070370104706,23.430995847578345,21.555651460036778,22.36091088879514,23.150295475946205,32.367070370104706,23.430995847578345,21.555651460036778,22.36091088879514,23.150295475946205,22.215160550356224,21.44545365573642,21.33676231370453,10.811418910067928,Normal_Expansion,537.27,530.88,531.3,531.17,540.0,378.71,2.58,0.4857202,,,2026-01-09 11:24:56.717189
CW,2026-01-09 11:24:56.717189,2026-01-09,,schwab,604.755,79165.0,lastPrice,1767986410267,1767986451564,245.153,True,OPEN,OK,COMPUTED,33.109,,,,33.109,,,,,,,,,,,,,,,,,,,,,,,31.48074672743836,32.15144456438818,31.69468807920321,32.23763167871244,30.66483518982139,31.48074672743836,32.15144456438818,31.69468807920321,32.23763167871244,30.66483518982139,30.782610516925818,29.19718730590676,28.411295807648575,-0.213941351764852,Normal_Compression,607.62,588.23,589.54,582.61,612.28,266.8787,22.145,3.80099895,,,2026-01-09 11:24:56.717189
KNSL,2026-01-09 11:24:56.717189,2026-01-09,,schwab,395.28,111685.0,lastPrice,1767986434398,1767986408572,288.145,True,OPEN,OK,COMPUTED,42.184,,,,42.184,,,,,,,,,,,,,,,,,,,,,,,22.985147546890776,26.920087191686353,29.99105820155211,35.089666784336174,34.46069789868067,22.985147546890776,26.920087191686353,29.99105820155211,35.089666784336174,34.46069789868067,32.340239561339715,31.107741456854548,37.45903546235488,-7.005910654661335,Normal,414.5132,393.63,413.31,411.14,512.76,349.0,-15.86,-3.85756677,,,2026-01-09 11:24:56.717189
